"Staff_ID","Staff_FName","Staff_LName","Dept","Country","Email","Role"
130001,"John","Sim","Chariman","Singapore","jack.sim@allinone.com.sg",1
130002,"Jack","Sim","CEO","Singapore","jack.sim@allinone.com.sg",1
140001,"Derek","Tan","Sales","Singapore","Derek.Tan@allinone.com.sg",3
140002,"Susan","Goh","Sales","Singapore","Susan.Goh@allinone.com.sg",2
140003,"Janice","Chan","Sales","Singapore","Janice.Chan@allinone.com.sg",2
140004,"Mary","Teo","Sales","Singapore","Mary.Teo@allinone.com.sg",2
140008,"Jaclyn","Lee","Sales","Singapore","Jaclyn.Lee@allinone.com.sg",3
140015,"Oliva","Lim","Sales","Singapore","Oliva.Lim@allinone.com.sg",2
140025,"Emma","Heng","Sales","Singapore","Emma.Heng@allinone.com.sg",2
140036,"Charlotte","Wong","Sales","Singapore","Charlotte.Wong@allinone.com.sg",2
140078,"Amelia","Ong","Sales","Singapore","Amelia.Ong@allinone.com.sg",2
140102,"Eva","Yong","Sales","Singapore","Eva.Yong@allinone.com.sg",2
140103,"Sophia","Toh","Sales","Singapore","Sophia.Toh@allinone.com.sg",3
140108,"Liam","The","Sales","Singapore","Liam.The@allinone.com.sg",2
140115,"Noah","Ng","Sales","Singapore","Noah.Ng@allinone.com.sg",2
140525,"Oliver","Tan","Sales","Singapore","Oliver.Tan@allinone.com.sg",2
140736,"William","Fu","Sales","Singapore","William.Fu@allinone.com.sg",2
140878,"James","Tong","Sales","Singapore","James.Tong@allinone.com.sg",2
140879,"Siti","Abdullah","Sales","Singapore","Siti.Abdullah@allinone.com.sg",3
140880,"Heng","Chan","Sales","Singapore","Heng.Chan@allinone.com.sg",2
140881,"Rina","Tan","Sales","Singapore","Rina.Tan@allinone.com.sg",2
140882,"Boun","Souk","Sales","Singapore","Boun.Souk@allinone.com.sg",2
140883,"Aung","Kyaw","Sales","Singapore","Aung.Kyaw@allinone.com.sg",2
140886,"Thuy","Nguyen","Sales","Singapore","Thuy.Nguyen@allinone.com.sg",2
140887,"Rajesh","Kumar","Sales","Singapore","Rajesh.Kumar@allinone.com.sg",2
140888,"Koh","Lim","Sales","Singapore","Koh.Lim@allinone.com.sg",2
140889,"Somchai","Somboon","Sales","Singapore","Somchai.Somboon@allinone.com.sg",2
140890,"Seng","Lee","Sales","Singapore","Seng.Lee@allinone.com.sg",2
140891,"Anh","Tran","Sales","Singapore","Anh.Tran@allinone.com.sg",2
140892,"Ratana","Chen","Sales","Singapore","Ratana.Chen@allinone.com.sg",2
140893,"Bui","Nguyen","Sales","Singapore","Bui.Nguyen@allinone.com.sg",2
140894,"Rahim","Khalid","Sales","Singapore","Rahim.Khalid@allinone.com.sg",3
140895,"Dewi","Putri","Sales","Singapore","Dewi.Putri@allinone.com.sg",2
140898,"Sokha","Seng","Sales","Singapore","Sokha.Seng@allinone.com.sg",2
140900,"Tuan","Nguyen","Sales","Singapore","Tuan.Nguyen@allinone.com.sg",2
140901,"Bao","Luu","Sales","Singapore","Bao.Luu@allinone.com.sg",2
140903,"Amara","Singh","Sales","Malaysia","Amara.Singh@allinone.com.my",2
140904,"Srey","Mao","Sales","Malaysia","Srey.Mao@allinone.com.my",2
140905,"Phuc","Le","Sales","Malaysia","Phuc.Le@allinone.com.my",2
140908,"Arifin","Saputra","Sales","Malaysia","Arifin.Saputra@allinone.com.my",2
140909,"Siti","Salleh","Sales","Malaysia","Siti.Salleh@allinone.com.my",2
140910,"Rina","Siriporn","Sales","Indonesia ","Rina.Siriporn@allinone.com.id",2
140911,"Minh","Ly","Sales","Indonesia ","Minh.Ly@allinone.com.id",2
140912,"Chandara","Kim","Sales","Indonesia ","Chandara.Kim@allinone.com.id",2
140917,"Heng","Phan","Sales","Indonesia ","Heng.Phan@allinone.com.id",2
140918,"Nara","Khun","Sales","Indonesia ","Nara.Khun@allinone.com.id",2
140919,"Priya","Malik","Sales","Indonesia ","Priya.Malik@allinone.com.id",2
140923,"Ngoc","Trinh","Sales","Vietnam","Ngoc.Trinh@allinone.com.vn",2
140924,"Manoj","Kumar","Sales","Vietnam","Manoj.Kumar@allinone.com.vn",2
140925,"Anh","Pham","Sales","Vietnam","Anh.Pham@allinone.com.vn",2
140926,"Somsak","Somsri","Sales","Vietnam","Somsak.Somsri@allinone.com.vn",2
140927,"Chin","Lim","Sales","Hong Kong","Chin.Lim@allinone.com.hk",2
140928,"Sok","Chhay","Sales","Hong Kong","Sok.Chhay@allinone.com.hk",2
140929,"Tat","Nguyen","Sales","Hong Kong","Tat.Nguyen@allinone.com.hk",2
140933,"Hlaing","Sithu","Sales","Hong Kong","Hlaing.Sithu@allinone.com.hk",2
140934,"Santhi","Perumal","Sales","Hong Kong","Santhi.Perumal@allinone.com.hk",2
140935,"Hakim","Siregar","Sales","Hong Kong","Hakim.Siregar@allinone.com.hk",2
140937,"Sirirat","Chaiyaporn","Sales","Hong Kong","Sirirat.Chaiyaporn@allinone.com.hk",2
140938,"Chinh","Tran","Sales","Hong Kong","Chinh.Tran@allinone.com.hk",2
140940,"Siti","Ahmad","Sales","Singapore","Siti.Ahmad@allinone.com.sg",2
140941,"Chandra","Rai","Sales","Singapore","Chandra.Rai@allinone.com.sg",2
140942,"Ratana","Keo","Sales","Singapore","Ratana.Keo@allinone.com.sg",2
140944,"Yee","Lim","Sales","Singapore","Yee.Lim@allinone.com.sg",3
140945,"Wai","Yong","Sales","Singapore","Wai.Yong@allinone.com.sg",2
140947,"Thi","Pham","Sales","Singapore","Thi.Pham@allinone.com.sg",2
140948,"Nara","Sok","Sales","Singapore","Nara.Sok@allinone.com.sg",2
150008,"Eric","Loh","Solutioning","Singapore","Eric.Loh@allinone.com.sg",3
150065,"Noah","Goh","Engineering","Singapore","Noah.Goh@allinone.com.sg",2
150075,"Liam","Tan","Engineering","Singapore","Liam.Tan@allinone.com.sg",2
150076,"Oliver","Chan","Engineering","Singapore","Oliver.Chan@allinone.com.sg",2
150085,"Michael","Ng","Engineering","Singapore","Michael.Ng@allinone.com.sg",2
150095,"Alexander","The","Engineering","Singapore","Alexander.The@allinone.com.sg",2
